	SRR8437484	SRR8437482	SRR8437483	SRR8437481	SRR8437478	SRR8437479
HORVU.MOREX.r3.1HG0006080	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0006090	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0006100	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0006110	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0006120	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0006130	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0006160	0	0	0	1	0	2
HORVU.MOREX.r3.1HG0006210	4	2	0	7	0	0
HORVU.MOREX.r3.1HG0006230	42	44	21	46	41	41
HORVU.MOREX.r3.1HG0006310	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0006340	2007	3851	2637	2676	3286	3822
HORVU.MOREX.r3.1HG0006400	133	64	61	128	66	81
HORVU.MOREX.r3.1HG0006410	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0006420	86	74	39	84	46	66
HORVU.MOREX.r3.1HG0006430	27	16	6	23	5	13
HORVU.MOREX.r3.1HG0006440	2	0	4	0	0	0
HORVU.MOREX.r3.1HG0006450	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0006460	2	1	2	0	4	2
HORVU.MOREX.r3.1HG0006480	987	1001	1205	846	1176	1571
HORVU.MOREX.r3.1HG0006490	886	602	788	994	619	932
HORVU.MOREX.r3.1HG0006500	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0006530	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0006570	6451	9813	7396	7868	8090	9579
HORVU.MOREX.r3.1HG0006580	5880	3149	4427	4102	3959	4663
HORVU.MOREX.r3.1HG0006610	2	2	1	2	8	2
HORVU.MOREX.r3.1HG0006630	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0006650	1	2	4	11	18	14
HORVU.MOREX.r3.1HG0006660	0	4	0	0	0	0
HORVU.MOREX.r3.1HG0006690	93	97	40	153	94	93
HORVU.MOREX.r3.1HG0006720	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0006730	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0006740	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0006770	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0006780	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0006820	341	415	128	167	378	327
HORVU.MOREX.r3.1HG0006840	433	427	386	318	537	507
HORVU.MOREX.r3.1HG0006880	30	44	11	12	30	34
HORVU.MOREX.r3.1HG0007100	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0007110	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0007160	1055	747	639	890	871	888
HORVU.MOREX.r3.1HG0007170	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0007200	4305	6403	3562	3802	4726	5326
HORVU.MOREX.r3.1HG0007220	544	367	417	429	435	492
HORVU.MOREX.r3.1HG0007230	594	457	401	710	366	664
HORVU.MOREX.r3.1HG0007240	0	0	2	6	4	8
HORVU.MOREX.r3.1HG0007250	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0007280	101	93	64	79	110	101
HORVU.MOREX.r3.1HG0007290	769	678	558	731	574	749
HORVU.MOREX.r3.1HG0007300	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0007320	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0007330	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0007340	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0007360	0	0	2	0	0	0
HORVU.MOREX.r3.1HG0007370	131	38	49	196	71	106
HORVU.MOREX.r3.1HG0007460	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0007510	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0007520	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0007570	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0007590	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0007600	3931	3344	2235	3993	2564	3365
HORVU.MOREX.r3.1HG0007610	1	0	0	0	0	0
HORVU.MOREX.r3.1HG0007620	0	0	0	0	0	0
HORVU.MOREX.r3.1HG0007630	0	0	0	0	1	0
HORVU.MOREX.r3.1HG0007690	76	98	36	34	68	78
