"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"HORVU.MOREX.r3.1HG0003890",7.6482611831888,8.2177709320881e-07,0.00144269335257102,0.475591384863125,NA
"HORVU.MOREX.r3.1HG0003900",976.404947810119,1.5753597668838e-06,0.00144262714520674,0.8236398506148,0.999875898879627
"HORVU.MOREX.r3.1HG0003910",0,NA,NA,NA,NA
"HORVU.MOREX.r3.1HG0003920",0,NA,NA,NA,NA
"HORVU.MOREX.r3.1HG0003950",2917.48183927289,-9.73732093621281e-07,0.00144266736448728,0.825740690874087,0.999875898879627
"HORVU.MOREX.r3.1HG0003970",0,NA,NA,NA,NA
"HORVU.MOREX.r3.1HG0003980",0,NA,NA,NA,NA
"HORVU.MOREX.r3.1HG0003990",0,NA,NA,NA,NA
"HORVU.MOREX.r3.1HG0004000",0,NA,NA,NA,NA
"HORVU.MOREX.r3.1HG0004020",0,NA,NA,NA,NA
"HORVU.MOREX.r3.1HG0004030",29.6172428998558,3.45297687013505e-06,0.00144268789654384,0.182637573648781,0.999875898879627
"HORVU.MOREX.r3.1HG0004060",0.52319811603076,9.87746717783929e-09,0.00144269492035922,0.987098325412675,NA
"HORVU.MOREX.r3.1HG0004110",26.7361775357927,-3.41464908178749e-06,0.00144269240289132,0.0142205400579931,0.737743825945824
"HORVU.MOREX.r3.1HG0004130",0.499494412704325,2.38057999158931e-07,0.00144269501133634,0.480703344871278,NA
"HORVU.MOREX.r3.1HG0004150",437.876368585146,-5.57775769375124e-06,0.00144263841764507,0.403685515083481,0.999875898879627
"HORVU.MOREX.r3.1HG0004160",83.4273579781092,-3.15729193301386e-06,0.00144266922064042,0.478181204988338,0.999875898879627
"HORVU.MOREX.r3.1HG0004210",212.844546122193,-7.11936514975891e-06,0.00144266465479737,0.180427700649051,0.999875898879627
"HORVU.MOREX.r3.1HG0004220",3.88321227548034,2.54190930352083e-08,0.00144269459645923,0.967212047004617,NA
"HORVU.MOREX.r3.1HG0004230",0,NA,NA,NA,NA
"HORVU.MOREX.r3.1HG0004240",56.795370798556,-2.25260088950176e-06,0.00144268287241569,0.462519768059676,0.999875898879627
"HORVU.MOREX.r3.1HG0004250",0,NA,NA,NA,NA
"HORVU.MOREX.r3.1HG0004260",0,NA,NA,NA,NA
"HORVU.MOREX.r3.1HG0004270",0,NA,NA,NA,NA
"HORVU.MOREX.r3.1HG0004280",0.67779305101339,-1.00492094872492e-07,0.00144269486113235,0.786802780857855,NA
"HORVU.MOREX.r3.1HG0004290",0,NA,NA,NA,NA
"HORVU.MOREX.r3.1HG0004300",0,NA,NA,NA,NA
"HORVU.MOREX.r3.1HG0004310",0,NA,NA,NA,NA
"HORVU.MOREX.r3.1HG0004320",0,NA,NA,NA,NA
"HORVU.MOREX.r3.1HG0004340",37.7608336414944,-3.21988123212391e-06,0.00144267696441668,0.394463021833525,0.999875898879627
"HORVU.MOREX.r3.1HG0004350",3.71096398929341,-1.99220239707801e-07,0.00144269340990717,0.853137897654159,NA
"HORVU.MOREX.r3.1HG0004370",0,NA,NA,NA,NA
"HORVU.MOREX.r3.1HG0004380",0,NA,NA,NA,NA
"HORVU.MOREX.r3.1HG0004410",0,NA,NA,NA,NA
"HORVU.MOREX.r3.1HG0004440",0,NA,NA,NA,NA
"HORVU.MOREX.r3.1HG0004450",0,NA,NA,NA,NA
"HORVU.MOREX.r3.1HG0004460",0,NA,NA,NA,NA
"HORVU.MOREX.r3.1HG0004490",0,NA,NA,NA,NA
"HORVU.MOREX.r3.1HG0004520",0,NA,NA,NA,NA
"HORVU.MOREX.r3.1HG0004540",94.7392334495761,2.35990436246046e-06,0.00144268201884518,0.459571549424429,0.999875898879627
"HORVU.MOREX.r3.1HG0004550",0,NA,NA,NA,NA
