	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
HORVU.MOREX.r3.1HG0002880	8856.78317971164	0.110420669534827	0.194783714927555	0.566888610661807	0.570789862630886	0.999457307108351
HORVU.MOREX.r3.1HG0002890	480.026498659069	-0.218181689289327	0.205939716957175	-1.05944444574864	0.289397417190882	0.999457307108351
HORVU.MOREX.r3.1HG0002910	8.61479675381566	1.54447663573808	0.829038207317288	1.86297401266451	0.0624659225512512	0.751176664929341
HORVU.MOREX.r3.1HG0002920	25.0273582745483	-0.0644496132846784	0.474953330023685	-0.135696728942746	0.892061033727761	0.999457307108351
HORVU.MOREX.r3.1HG0002940	6.06701995604593	0.343054042869921	0.899342467213441	0.381449842942315	0.70286948227828	NA
HORVU.MOREX.r3.1HG0002950	0	NA	NA	NA	NA	NA
HORVU.MOREX.r3.1HG0002960	0	NA	NA	NA	NA	NA
HORVU.MOREX.r3.1HG0002980	0	NA	NA	NA	NA	NA
HORVU.MOREX.r3.1HG0002990	0.809690678747726	1.82144643359747	2.51615300530545	0.723901300817894	0.469126331323938	NA
HORVU.MOREX.r3.1HG0003000	1.22056586806625	0.195760694848096	2.27923268876255	0.0858888589187352	0.9315547680774	NA
HORVU.MOREX.r3.1HG0003010	11.4661862204999	0.224929563519552	0.751041077026468	0.299490361312987	0.764565925295347	0.999457307108351
HORVU.MOREX.r3.1HG0003030	0	NA	NA	NA	NA	NA
HORVU.MOREX.r3.1HG0003040	4.28019560924547	1.77699989065346	1.26123964250948	1.4089312060615	0.158855511039779	NA
HORVU.MOREX.r3.1HG0003050	0	NA	NA	NA	NA	NA
HORVU.MOREX.r3.1HG0003060	1.60722744971625	0.473665752705655	2.41239072733861	0.196347029251025	0.844338553694012	NA
HORVU.MOREX.r3.1HG0003070	4.661210943339	0.710693613898715	1.11722862974895	0.636121913612628	0.524696963553741	NA
HORVU.MOREX.r3.1HG0003080	0.690142780416539	-0.304108566425141	3.69239677008691	-0.0823607497679571	0.934359847118211	NA
HORVU.MOREX.r3.1HG0003090	0	NA	NA	NA	NA	NA
HORVU.MOREX.r3.1HG0003100	0	NA	NA	NA	NA	NA
HORVU.MOREX.r3.1HG0003110	0	NA	NA	NA	NA	NA
HORVU.MOREX.r3.1HG0003120	0	NA	NA	NA	NA	NA
HORVU.MOREX.r3.1HG0003130	382.524176526235	-0.153368526640879	0.19881853099856	-0.77139955652318	0.440470137884538	0.999457307108351
HORVU.MOREX.r3.1HG0003140	10038.693847369	0.10585045259504	0.175246434568114	0.604009164899151	0.545837548938891	0.999457307108351
HORVU.MOREX.r3.1HG0003150	467.934811266774	0.00173633658395103	0.178865361572434	0.00970750607432658	0.992254652427594	0.999457307108351
HORVU.MOREX.r3.1HG0003160	0.360110454235096	1.92978660502416	4.02695703175619	0.479217083720053	0.631784202002604	NA
HORVU.MOREX.r3.1HG0003170	0.157182196457974	0.904916749943189	4.0804728567969	0.221767619023824	0.8244947880717	NA
HORVU.MOREX.r3.1HG0003180	47.2643133505936	0.043061675964247	0.604304150360569	0.0712582826686751	0.943192196395631	0.999457307108351
HORVU.MOREX.r3.1HG0003200	0	NA	NA	NA	NA	NA
HORVU.MOREX.r3.1HG0003210	0	NA	NA	NA	NA	NA
HORVU.MOREX.r3.1HG0003220	0	NA	NA	NA	NA	NA
HORVU.MOREX.r3.1HG0003230	0.151885726134076	0.904916749943189	4.0804728567969	0.221767619023824	0.8244947880717	NA
HORVU.MOREX.r3.1HG0003240	0	NA	NA	NA	NA	NA
HORVU.MOREX.r3.1HG0003260	0	NA	NA	NA	NA	NA
HORVU.MOREX.r3.1HG0003270	0	NA	NA	NA	NA	NA
HORVU.MOREX.r3.1HG0003280	0	NA	NA	NA	NA	NA
HORVU.MOREX.r3.1HG0003290	91.0898374836559	-0.142841762185708	0.343727498887201	-0.415566873899092	0.677726970834375	0.999457307108351
HORVU.MOREX.r3.1HG0003300	0	NA	NA	NA	NA	NA
HORVU.MOREX.r3.1HG0003310	11.365630000321	0.196221913765745	0.689864811920733	0.284435313086082	0.776076800110393	0.999457307108351
HORVU.MOREX.r3.1HG0003380	0	NA	NA	NA	NA	NA
HORVU.MOREX.r3.1HG0003390	0	NA	NA	NA	NA	NA
HORVU.MOREX.r3.1HG0003410	0	NA	NA	NA	NA	NA
HORVU.MOREX.r3.1HG0003430	1661.79973623939	-0.106094542406916	0.182099287766416	-0.582619205754427	0.560149673455226	0.999457307108351
HORVU.MOREX.r3.1HG0003440	0	NA	NA	NA	NA	NA
